n,val_bytes,mode,threads,phase,count,takes_ms,avg_us,p50_us,p90_us,p99_us,ops
7,16384,baseline,4096,RUN,38054,9800,1015816,1041919,1385471,1476607,3867.0,
7,16384,metronome,4096,LOAD,
7,16384,metronome,4096,RUN,52125,9700,733499,773119,1032703,1297407,5373.3,
7,4096,baseline,512,LOAD,5000,200,17868,14943,35295,47327,31000.1,
7,4096,baseline,512,RUN,157053,10000,32314,31999,38879,112447,15755.3,
7,4096,metronome,512,LOAD,5000,200,18936,14871,39455,57695,31114.4,
7,4096,metronome,512,RUN,191995,10000,26529,24207,38207,74751,19259.4,
7,4096,baseline,1024,LOAD,5000,100,30115,23983,62399,70399,40906.1,
7,4096,baseline,1024,RUN,157789,9900,64385,64095,77439,201343,15879.1,
7,4096,metronome,1024,LOAD,5000,100,27604,20095,60351,68095,45228.6,
7,4096,metronome,1024,RUN,200000,9300,46879,44095,74943,114047,21589.6,
7,4096,baseline,2048,LOAD,5000,100,81511,73599,131711,151167,34868.4,
7,4096,baseline,2048,RUN,157888,9900,127867,128959,156415,295167,15944.9,
7,4096,metronome,2048,LOAD,5000,100,69129,44191,120895,137855,48904.6,
7,4096,metronome,2048,RUN,200000,9200,92661,82623,143359,241919,21781.8,
7,4096,baseline,4096,LOAD,5000,100,177358,203007,226687,240127,66938.9,
7,4096,baseline,4096,RUN,157091,9900,255163,258175,372735,523007,15895.7,
7,4096,metronome,4096,LOAD,5000,100,138201,149119,187263,205823,50815.5,
7,4096,metronome,4096,RUN,200000,9000,181354,166783,284159,402175,22245.6,
